student_id,department,cgpa,aptitude_score,technical_score,projects_count,internships_count,dsa_problems_solved,backlogs_count,certifications_count,soft_skills_score,placement_score,is_placed,hiring_tier,ctc_lpa
STU-1039,Information Science,5.0,80,49,2,1,22,0,1,89,59.71,1,Tier 3 Enterprise,6.61
STU-1040,Computer Science,8.08,100,69,0,1,147,0,1,72,85.45,1,Tier 2 Tech,9.75
STU-1041,Information Science,8.59,51,84,3,0,71,2,3,71,46.01,0,Unplaced,0.0
STU-1042,Computer Science,5.0,89,63,1,3,66,0,2,78,77.51,1,Tier 2 Tech,17.19
STU-1043,Artificial Intelligence & Machine Learning,6.49,88,46,4,0,209,1,0,70,58.44,1,Tier 3 Enterprise,7.2
STU-1044,Computer Science,8.28,58,82,3,1,135,0,2,83,78.67,1,Tier 2 Tech,10.3
STU-1045,Electronics & Communication,9.86,86,88,4,1,3,2,2,97,74.7,1,Tier 2 Tech,12.86
STU-1046,Computer Science,7.62,76,74,3,1,38,0,3,100,90.32,1,Tier 2 Tech,12.58
STU-1047,Information Science,6.8,68,70,0,0,225,1,1,75,50.96,0,Unplaced,0.0
STU-1048,Information Science,7.4,60,69,2,3,2,0,2,78,81.21,1,Tier 2 Tech,11.49
STU-1049,Computer Science,9.11,61,83,2,1,86,0,1,92,87.94,1,Tier 2 Tech,16.18
STU-1050,Artificial Intelligence & Machine Learning,6.89,100,64,1,2,143,2,2,72,58.3,1,Tier 3 Enterprise,4.44
STU-1051,Mechanical Engineering,6.72,72,75,1,0,106,1,3,82,55.85,1,Tier 3 Enterprise,5.66
STU-1052,Artificial Intelligence & Machine Learning,7.07,82,72,1,1,157,0,2,60,80.52,1,Tier 2 Tech,12.28
STU-1053,Civil Engineering,6.55,60,66,5,1,142,0,1,70,80.3,1,Tier 2 Tech,12.69
STU-1054,Electronics & Communication,7.73,61,61,3,1,129,0,1,87,77.89,1,Tier 2 Tech,16.61
STU-1055,Artificial Intelligence & Machine Learning,9.39,87,83,1,2,189,0,1,65,94.7,1,Tier 1 Product,23.24
STU-1056,Computer Science,7.96,53,84,5,0,114,1,2,72,61.37,1,Tier 3 Enterprise,4.41
STU-1057,Computer Science,7.32,66,70,0,0,56,0,2,55,60.59,1,Tier 3 Enterprise,6.47
STU-1058,Computer Science,7.28,72,76,2,1,70,0,4,98,84.87,1,Tier 2 Tech,9.74
STU-1059,Computer Science,5.88,73,76,0,0,138,0,3,89,62.65,1,Tier 3 Enterprise,4.3
STU-1060,Information Science,8.57,69,90,3,3,229,0,3,76,110.14,1,Tier 1 Product,28.24
STU-1061,Computer Science,7.51,77,73,2,0,34,1,2,80,57.32,1,Tier 3 Enterprise,4.88
STU-1062,Mechanical Engineering,7.4,81,66,2,1,46,3,2,78,27.93,0,Unplaced,0.0
STU-1063,Information Science,9.9,82,65,2,0,293,0,1,90,83.85,1,Tier 1 Product,26.67
STU-1064,Computer Science,7.93,58,73,1,1,95,1,1,67,59.94,1,Tier 3 Enterprise,5.04
STU-1065,Information Science,6.77,68,62,3,0,21,0,0,82,66.88,1,Tier 3 Enterprise,4.37
STU-1066,Computer Science,7.13,88,72,4,0,119,0,0,86,86.89,1,Tier 2 Tech,13.6
STU-1067,Mechanical Engineering,8.86,84,81,3,0,480,0,3,88,86.79,1,Tier 1 Product,18.65
STU-1068,Computer Science,7.72,52,70,2,0,190,0,0,46,65.09,1,Tier 3 Enterprise,7.87
STU-1069,Artificial Intelligence & Machine Learning,6.02,76,42,3,3,150,0,3,66,81.45,1,Tier 2 Tech,11.41
STU-1070,Mechanical Engineering,8.61,44,71,3,0,25,0,2,61,63.62,1,Tier 3 Enterprise,6.78
STU-1071,Computer Science,6.87,72,71,4,1,229,2,3,75,59.37,1,Tier 3 Enterprise,7.24
STU-1072,Computer Science,9.66,98,100,0,3,82,1,3,49,82.34,1,Tier 2 Tech,10.79
STU-1073,Mechanical Engineering,8.79,58,81,1,1,242,3,2,49,35.08,0,Unplaced,0.0
STU-1074,Electronics & Communication,7.11,60,72,0,3,44,0,0,100,75.45,1,Tier 2 Tech,15.49
STU-1075,Electronics & Communication,9.01,82,93,2,3,7,0,2,81,92.33,1,Tier 2 Tech,16.32
STU-1076,Mechanical Engineering,7.67,50,65,2,1,71,0,1,75,69.36,1,Tier 2 Tech,10.41
STU-1077,Computer Science,8.54,63,83,5,1,34,0,1,78,89.07,1,Tier 2 Tech,17.92
STU-1078,Information Science,8.13,80,69,1,0,138,0,1,75,75.2,1,Tier 2 Tech,8.21
STU-1079,Computer Science,6.67,63,74,5,0,346,0,1,85,83.24,1,Tier 2 Tech,10.17
STU-1080,Civil Engineering,6.89,68,68,1,2,129,0,0,66,70.34,1,Tier 2 Tech,15.8
STU-1081,Electronics & Communication,8.73,82,84,4,1,239,0,2,76,98.48,1,Tier 1 Product,22.66
STU-1082,Computer Science,7.23,77,62,2,1,66,0,0,76,76.19,1,Tier 2 Tech,14.98
STU-1083,Computer Science,7.16,75,76,3,1,162,0,1,61,82.94,1,Tier 2 Tech,16.56
STU-1084,Computer Science,6.55,67,85,3,0,203,0,2,89,79.2,1,Tier 2 Tech,17.59
STU-1085,Computer Science,8.07,77,66,4,2,136,0,3,68,97.55,1,Tier 2 Tech,12.74
STU-1086,Electronics & Communication,9.87,70,87,2,1,77,1,3,86,80.84,1,Tier 2 Tech,17.71
STU-1087,Electronics & Communication,6.43,78,65,5,0,108,0,0,75,69.47,1,Tier 2 Tech,12.12
STU-1088,Civil Engineering,7.63,65,80,2,2,132,1,1,93,66.16,1,Tier 3 Enterprise,4.87
STU-1089,Information Science,9.15,69,79,3,0,32,0,1,61,72.84,1,Tier 2 Tech,13.14
STU-1090,Computer Science,7.51,58,43,3,1,182,0,0,60,72.53,1,Tier 2 Tech,14.5
STU-1091,Electronics & Communication,8.1,71,90,3,1,330,1,2,63,70.45,1,Tier 2 Tech,12.58
STU-1092,Mechanical Engineering,6.43,60,71,2,0,68,0,0,75,61.22,1,Tier 3 Enterprise,6.27
STU-1093,Electronics & Communication,8.07,56,59,5,2,132,0,0,92,87.85,1,Tier 2 Tech,12.16
STU-1094,Mechanical Engineering,7.39,75,65,1,1,146,2,0,93,41.76,0,Unplaced,0.0
STU-1095,Information Science,8.68,74,97,2,0,119,0,2,46,78.9,1,Tier 2 Tech,13.25
STU-1096,Information Science,8.91,82,97,2,0,87,0,1,76,90.33,1,Tier 2 Tech,17.53
STU-1097,Information Science,9.9,65,100,1,2,234,1,2,45,85.67,1,Tier 1 Product,30.0
STU-1098,Computer Science,8.24,77,76,0,0,65,1,1,83,52.22,0,Unplaced,0.0
STU-1099,Computer Science,7.96,79,76,3,2,6,0,3,87,92.09,1,Tier 2 Tech,10.53
STU-1100,Computer Science,7.81,78,73,3,0,204,0,3,73,84.98,1,Tier 2 Tech,15.59
STU-1101,Electronics & Communication,7.21,60,80,3,1,123,1,1,75,62.73,1,Tier 3 Enterprise,5.35
STU-1102,Computer Science,7.97,74,67,2,2,208,0,1,74,95.01,1,Tier 2 Tech,16.16
STU-1103,Information Science,7.28,77,62,3,0,16,0,3,64,73.22,1,Tier 2 Tech,8.57
STU-1104,Artificial Intelligence & Machine Learning,7.79,72,84,3,1,3,0,0,79,81.14,1,Tier 2 Tech,11.32
STU-1105,Computer Science,9.05,42,83,0,1,299,2,1,71,50.41,0,Unplaced,0.0
STU-1106,Information Science,6.49,74,77,1,1,17,0,0,85,74.86,1,Tier 2 Tech,8.94
STU-1107,Mechanical Engineering,8.85,100,76,4,1,182,1,1,72,89.42,1,Tier 1 Product,20.05
STU-1108,Computer Science,9.05,66,83,1,1,190,0,4,63,87.04,1,Tier 1 Product,33.8
STU-1109,Computer Science,7.47,61,62,2,1,135,0,2,55,69.07,1,Tier 2 Tech,11.85
STU-1110,Computer Science,5.27,77,54,3,2,15,1,2,51,58.57,1,Tier 3 Enterprise,7.49
STU-1111,Computer Science,6.93,76,52,1,1,121,3,3,89,33.07,0,Unplaced,0.0
STU-1112,Artificial Intelligence & Machine Learning,9.03,88,79,2,0,241,0,1,68,86.89,1,Tier 1 Product,30.39
STU-1113,Mechanical Engineering,7.57,54,58,3,3,60,0,2,78,80.55,1,Tier 2 Tech,10.95
STU-1114,Electronics & Communication,6.5,82,70,5,0,58,2,0,95,50.02,0,Unplaced,0.0
STU-1115,Civil Engineering,7.04,80,75,1,0,64,0,2,67,62.95,1,Tier 3 Enterprise,6.88
STU-1116,Mechanical Engineering,8.52,70,62,1,0,9,0,3,66,69.62,1,Tier 2 Tech,14.24
STU-1117,Computer Science,8.2,76,90,5,0,244,0,0,72,86.94,1,Tier 1 Product,37.19
STU-1118,Civil Engineering,7.34,86,95,0,0,223,1,3,74,65.82,1,Tier 3 Enterprise,6.57
STU-1119,Information Science,7.2,84,70,2,0,480,1,1,96,67.19,1,Tier 2 Tech,9.67
STU-1120,Mechanical Engineering,7.17,55,62,1,0,96,2,5,92,40.68,0,Unplaced,0.0
STU-1121,Civil Engineering,6.59,83,92,3,1,153,0,2,81,86.47,1,Tier 2 Tech,14.7
STU-1122,Computer Science,9.38,71,73,1,0,24,0,2,91,72.41,1,Tier 2 Tech,11.92
STU-1123,Computer Science,7.25,73,70,1,0,121,0,5,71,73.0,1,Tier 2 Tech,12.63
STU-1124,Computer Science,8.94,73,85,3,0,115,0,2,77,85.35,1,Tier 2 Tech,17.22
STU-1125,Information Science,9.27,69,99,3,0,254,0,2,70,95.03,1,Tier 1 Product,26.64
STU-1126,Mechanical Engineering,8.7,88,85,3,0,195,0,0,58,84.19,1,Tier 1 Product,32.69
STU-1127,Civil Engineering,7.13,70,64,1,1,306,0,0,88,84.27,1,Tier 2 Tech,11.63
STU-1128,Computer Science,8.04,56,66,0,3,223,0,2,80,80.26,1,Tier 2 Tech,8.95
STU-1129,Information Science,7.57,66,69,2,2,223,0,2,74,87.51,1,Tier 2 Tech,12.54
STU-1130,Information Science,6.61,74,54,1,2,7,1,2,73,56.69,1,Tier 3 Enterprise,6.39
STU-1131,Computer Science,7.96,89,76,4,0,205,0,2,55,88.05,1,Tier 2 Tech,12.08
STU-1132,Computer Science,6.3,80,56,4,0,102,0,3,62,76.21,1,Tier 2 Tech,11.91
STU-1133,Computer Science,8.91,60,68,1,0,52,0,0,78,67.91,1,Tier 2 Tech,16.2
STU-1134,Artificial Intelligence & Machine Learning,7.09,100,81,0,1,6,1,2,67,62.51,1,Tier 3 Enterprise,4.12
STU-1135,Computer Science,7.82,75,69,3,0,124,0,2,71,76.04,1,Tier 2 Tech,10.96
STU-1136,Information Science,7.91,89,62,1,1,43,0,0,72,72.02,1,Tier 2 Tech,16.12
STU-1137,Electronics & Communication,7.32,69,68,4,0,69,0,2,65,71.51,1,Tier 2 Tech,17.21
STU-1138,Information Science,8.25,79,78,2,0,125,0,2,62,82.45,1,Tier 2 Tech,12.12
STU-1139,Artificial Intelligence & Machine Learning,7.08,83,51,3,3,267,1,2,54,79.58,1,Tier 2 Tech,16.89
STU-1140,Artificial Intelligence & Machine Learning,8.56,89,83,6,1,192,0,2,72,103.49,1,Tier 1 Product,22.77
STU-1141,Computer Science,6.12,86,50,1,2,65,0,5,81,75.13,1,Tier 2 Tech,10.21
STU-1142,Information Science,7.74,84,91,0,1,53,0,3,54,78.83,1,Tier 2 Tech,16.46
STU-1143,Computer Science,9.73,67,95,1,2,30,0,2,73,97.15,1,Tier 2 Tech,17.03
STU-1144,Computer Science,6.5,63,60,1,1,51,0,0,77,68.68,1,Tier 2 Tech,10.23
STU-1145,Computer Science,6.85,76,59,0,2,12,0,0,62,71.51,1,Tier 2 Tech,8.59
STU-1146,Electronics & Communication,8.17,85,76,1,0,389,1,1,91,68.46,1,Tier 2 Tech,8.9
STU-1147,Information Science,7.8,68,80,2,1,93,1,1,69,69.51,1,Tier 2 Tech,10.61
STU-1148,Computer Science,7.99,86,75,3,1,15,1,4,72,67.24,1,Tier 2 Tech,15.61
STU-1149,Computer Science,8.14,92,74,6,0,47,0,1,72,81.96,1,Tier 2 Tech,13.1
STU-1150,Artificial Intelligence & Machine Learning,8.3,59,78,1,2,87,0,2,52,78.88,1,Tier 2 Tech,12.56
STU-1151,Computer Science,8.82,60,76,2,3,83,0,4,86,97.0,1,Tier 2 Tech,13.84
STU-1152,Computer Science,8.05,70,72,3,1,3,0,1,62,78.69,1,Tier 2 Tech,16.9
STU-1153,Information Science,7.33,76,49,0,0,331,0,2,71,72.56,1,Tier 2 Tech,8.9
STU-1154,Artificial Intelligence & Machine Learning,8.34,64,88,5,1,35,2,5,81,57.18,1,Tier 3 Enterprise,6.78
STU-1155,Computer Science,9.69,90,92,3,2,1,0,1,91,110.58,1,Tier 2 Tech,17.27
STU-1156,Electronics & Communication,7.45,77,63,2,1,8,2,2,61,41.51,0,Unplaced,0.0
STU-1157,Mechanical Engineering,6.53,72,83,0,0,95,0,0,68,63.2,1,Tier 3 Enterprise,4.85
STU-1158,Computer Science,8.82,51,83,2,1,16,0,1,90,87.79,1,Tier 2 Tech,16.38
STU-1159,Electronics & Communication,7.47,53,61,7,0,4,0,0,79,68.19,1,Tier 2 Tech,14.98
STU-1160,Information Science,5.21,75,62,2,1,52,0,1,82,70.88,1,Tier 2 Tech,8.14
STU-1161,Electronics & Communication,8.53,42,84,1,0,107,0,1,61,66.41,1,Tier 3 Enterprise,4.93
STU-1162,Electronics & Communication,7.01,86,72,0,1,13,2,0,69,42.72,0,Unplaced,0.0
STU-1163,Information Science,7.5,69,67,4,1,41,1,2,71,68.47,1,Tier 2 Tech,14.06
STU-1164,Computer Science,7.97,100,80,0,0,59,0,1,63,71.1,1,Tier 2 Tech,13.02
STU-1165,Mechanical Engineering,7.81,100,71,4,0,19,0,1,53,80.32,1,Tier 2 Tech,13.28
STU-1166,Computer Science,8.38,69,84,1,0,77,2,2,67,43.29,0,Unplaced,0.0
STU-1167,Computer Science,7.12,70,49,3,0,9,1,0,90,42.82,0,Unplaced,0.0
STU-1168,Computer Science,8.16,85,72,2,0,5,0,1,74,75.68,1,Tier 2 Tech,10.32
STU-1169,Electronics & Communication,7.31,95,87,2,3,80,1,1,90,75.28,1,Tier 2 Tech,14.75
STU-1170,Electronics & Communication,8.41,49,71,3,2,31,0,2,76,84.34,1,Tier 2 Tech,10.66
STU-1171,Computer Science,8.28,46,72,2,2,11,0,2,64,75.15,1,Tier 2 Tech,11.89
STU-1172,Information Science,6.57,63,60,1,2,60,0,3,89,71.37,1,Tier 2 Tech,11.69
STU-1173,Computer Science,8.79,80,70,0,0,271,0,3,76,80.52,1,Tier 2 Tech,14.72
STU-1174,Electronics & Communication,7.01,78,45,2,0,141,0,0,85,66.18,1,Tier 3 Enterprise,4.36
STU-1175,Computer Science,8.49,86,77,1,0,185,0,2,61,79.85,1,Tier 2 Tech,10.06
STU-1176,Electronics & Communication,8.0,55,77,1,2,226,0,0,86,80.49,1,Tier 2 Tech,10.0
STU-1177,Information Science,9.62,39,88,1,1,395,2,0,86,49.04,0,Unplaced,0.0
STU-1178,Artificial Intelligence & Machine Learning,7.35,84,69,3,0,158,3,2,77,35.15,0,Unplaced,0.0
STU-1179,Computer Science,7.22,60,70,6,0,103,0,1,64,72.28,1,Tier 2 Tech,9.08
STU-1180,Computer Science,7.58,43,82,2,1,50,0,1,73,75.54,1,Tier 2 Tech,10.08
STU-1181,Computer Science,7.27,74,68,0,1,22,0,1,81,70.59,1,Tier 2 Tech,14.07
STU-1182,Artificial Intelligence & Machine Learning,8.48,83,74,1,2,127,0,3,76,89.8,1,Tier 2 Tech,15.32
STU-1183,Civil Engineering,5.82,70,55,2,0,480,0,3,81,76.61,1,Tier 2 Tech,14.6
STU-1184,Computer Science,6.44,65,69,3,2,69,0,2,86,82.34,1,Tier 2 Tech,12.75
STU-1185,Electronics & Communication,6.43,69,77,4,0,141,0,0,66,73.9,1,Tier 2 Tech,8.52
STU-1186,Mechanical Engineering,8.65,66,74,2,1,75,0,3,60,83.58,1,Tier 2 Tech,17.59
STU-1187,Electronics & Communication,9.48,53,88,0,2,62,0,1,73,83.81,1,Tier 2 Tech,9.68
STU-1188,Information Science,7.49,61,75,2,2,58,1,3,70,68.45,1,Tier 2 Tech,14.68
STU-1189,Computer Science,7.41,79,61,3,0,77,0,5,83,77.52,1,Tier 2 Tech,17.13
STU-1190,Computer Science,7.68,76,73,3,0,50,0,1,61,73.73,1,Tier 2 Tech,14.98
STU-1191,Civil Engineering,8.88,74,68,1,1,151,0,3,86,81.83,1,Tier 2 Tech,10.18
STU-1192,Artificial Intelligence & Machine Learning,6.58,58,46,2,0,228,0,4,90,73.54,1,Tier 2 Tech,11.16
STU-1193,Electronics & Communication,7.86,69,78,1,1,235,0,1,74,81.22,1,Tier 2 Tech,8.3
STU-1194,Computer Science,8.67,41,77,2,2,28,1,2,74,71.13,1,Tier 2 Tech,14.13
STU-1195,Computer Science,8.15,74,79,0,0,248,0,2,64,81.39,1,Tier 2 Tech,14.13
STU-1196,Electronics & Communication,7.81,92,74,4,1,45,1,0,67,71.66,1,Tier 2 Tech,15.26
STU-1197,Civil Engineering,8.7,51,71,2,0,40,0,5,69,66.12,1,Tier 3 Enterprise,4.04
STU-1198,Civil Engineering,5.0,63,51,4,2,142,0,1,91,71.84,1,Tier 2 Tech,16.18
STU-1199,Mechanical Engineering,8.35,76,66,1,3,39,0,3,73,79.51,1,Tier 2 Tech,15.39
STU-1200,Electronics & Communication,6.88,89,80,1,1,5,0,4,58,75.88,1,Tier 2 Tech,9.41
STU-1201,Computer Science,5.59,65,43,4,0,51,0,0,77,64.8,1,Tier 3 Enterprise,5.39
STU-1202,Computer Science,8.16,62,75,1,1,140,2,1,83,52.12,0,Unplaced,0.0
STU-1203,Civil Engineering,9.11,44,74,1,1,43,0,2,73,65.98,1,Tier 3 Enterprise,6.55
STU-1204,Electronics & Communication,7.45,73,77,1,0,109,0,1,91,67.49,1,Tier 2 Tech,12.96
STU-1205,Computer Science,8.65,100,77,1,2,118,2,1,83,59.4,1,Tier 3 Enterprise,4.46
STU-1206,Computer Science,9.37,75,81,2,3,145,0,3,61,96.46,1,Tier 2 Tech,8.87
STU-1207,Electronics & Communication,9.05,71,92,3,1,250,0,3,67,97.28,1,Tier 1 Product,36.75
STU-1208,Computer Science,9.4,76,87,4,1,62,0,2,76,101.06,1,Tier 2 Tech,9.56
STU-1209,Computer Science,8.42,71,84,1,0,20,0,1,54,72.44,1,Tier 2 Tech,9.72
STU-1210,Information Science,7.68,60,63,4,1,42,0,1,78,75.16,1,Tier 2 Tech,16.31
STU-1211,Electronics & Communication,5.84,83,44,3,0,62,0,4,52,61.47,1,Tier 3 Enterprise,6.45
STU-1212,Electronics & Communication,7.33,75,71,2,0,137,0,3,86,67.94,1,Tier 2 Tech,14.05
STU-1213,Computer Science,6.67,72,62,5,0,1,0,2,84,73.53,1,Tier 2 Tech,12.79
STU-1214,Electronics & Communication,9.9,58,97,3,0,41,0,1,80,76.58,1,Tier 2 Tech,13.69
STU-1215,Computer Science,7.41,90,70,2,0,166,0,1,65,83.24,1,Tier 2 Tech,14.02
STU-1216,Computer Science,7.74,81,75,4,1,122,0,5,76,92.69,1,Tier 2 Tech,17.68
STU-1217,Electronics & Communication,8.21,64,61,2,1,144,2,2,67,44.77,0,Unplaced,0.0
STU-1218,Electronics & Communication,7.65,86,92,2,1,183,0,2,61,83.86,1,Tier 2 Tech,10.23
STU-1219,Mechanical Engineering,9.46,65,86,3,0,168,1,2,69,61.84,1,Tier 3 Enterprise,4.86
STU-1220,Electronics & Communication,6.92,61,74,5,0,126,0,2,82,69.46,1,Tier 2 Tech,8.57
STU-1221,Electronics & Communication,7.81,61,66,2,2,63,0,4,74,77.55,1,Tier 2 Tech,14.58
STU-1222,Computer Science,6.78,47,69,2,1,452,0,1,91,75.23,1,Tier 2 Tech,13.49
STU-1223,Information Science,6.15,78,48,1,3,92,1,0,83,54.75,0,Unplaced,0.0
STU-1224,Computer Science,6.93,46,71,4,0,24,0,0,81,68.24,1,Tier 2 Tech,9.11
STU-1225,Computer Science,7.56,54,68,2,1,38,1,1,54,56.45,1,Tier 3 Enterprise,5.46
STU-1226,Artificial Intelligence & Machine Learning,7.13,42,69,2,0,130,3,3,70,20.17,0,Unplaced,0.0
STU-1227,Information Science,6.84,70,73,0,1,284,0,1,61,82.01,1,Tier 2 Tech,9.79
STU-1228,Civil Engineering,6.05,69,48,1,2,21,0,2,71,61.03,1,Tier 3 Enterprise,5.33
STU-1229,Electronics & Communication,7.51,67,65,1,2,9,0,2,65,73.48,1,Tier 2 Tech,17.51
STU-1230,Mechanical Engineering,5.94,57,64,1,3,234,0,3,69,74.67,1,Tier 2 Tech,14.83
STU-1231,Information Science,8.44,55,100,2,0,271,0,1,86,81.15,1,Tier 2 Tech,8.08
STU-1232,Electronics & Communication,7.69,78,72,3,1,35,1,4,79,63.7,1,Tier 3 Enterprise,5.01
STU-1233,Information Science,6.0,64,65,3,1,52,0,1,86,73.08,1,Tier 2 Tech,8.1
STU-1234,Computer Science,7.26,76,69,4,1,118,0,4,54,84.83,1,Tier 2 Tech,15.15
STU-1235,Electronics & Communication,6.77,59,85,3,0,44,0,2,74,67.8,1,Tier 2 Tech,12.69
STU-1236,Computer Science,7.95,74,58,1,2,230,2,5,85,53.54,0,Unplaced,0.0
STU-1237,Computer Science,9.07,90,85,3,2,12,0,3,92,100.09,1,Tier 2 Tech,17.94
STU-1238,Electronics & Communication,5.54,80,40,2,0,4,2,1,55,23.57,0,Unplaced,0.0
STU-1239,Computer Science,7.73,66,48,2,0,25,3,1,69,17.36,0,Unplaced,0.0
STU-1240,Artificial Intelligence & Machine Learning,7.42,75,74,1,0,37,0,1,86,68.33,1,Tier 2 Tech,15.34
STU-1241,Artificial Intelligence & Machine Learning,8.34,68,80,1,1,13,0,2,71,76.07,1,Tier 2 Tech,13.18
STU-1242,Artificial Intelligence & Machine Learning,7.83,72,71,4,0,7,0,0,63,71.85,1,Tier 2 Tech,16.05
STU-1243,Information Science,6.77,67,65,2,2,154,0,0,55,77.83,1,Tier 2 Tech,15.05
STU-1244,Computer Science,7.25,69,100,1,1,19,1,2,62,59.13,1,Tier 3 Enterprise,4.98
STU-1245,Artificial Intelligence & Machine Learning,6.72,74,63,2,1,269,0,1,53,84.05,1,Tier 2 Tech,13.3
STU-1246,Information Science,8.78,58,87,1,1,50,0,5,74,76.69,1,Tier 2 Tech,13.56
STU-1247,Artificial Intelligence & Machine Learning,7.62,57,66,5,0,122,0,1,84,74.04,1,Tier 2 Tech,12.51
STU-1248,Artificial Intelligence & Machine Learning,9.69,52,92,3,2,28,0,1,58,92.39,1,Tier 2 Tech,9.79
STU-1249,Civil Engineering,7.53,49,69,2,1,30,0,2,77,65.88,1,Tier 3 Enterprise,4.89
STU-1250,Computer Science,6.82,54,62,2,3,94,0,0,84,75.4,1,Tier 2 Tech,10.81
STU-1251,Information Science,5.93,74,77,5,1,90,1,1,73,65.58,1,Tier 3 Enterprise,4.04
STU-1252,Civil Engineering,5.62,59,68,3,1,161,0,1,54,67.91,1,Tier 2 Tech,17.17
STU-1253,Computer Science,5.86,79,60,3,0,155,0,2,78,72.45,1,Tier 2 Tech,14.86
STU-1254,Computer Science,7.89,72,52,3,1,122,1,2,73,62.83,1,Tier 3 Enterprise,6.76
STU-1255,Electronics & Communication,8.16,44,73,5,1,65,2,1,72,46.67,0,Unplaced,0.0
